"Response","tweets"
"positive"," bible verse found with identity in christ daily by  roboticode for  android  iphone  kindle   dailyinspiration https   t co 5uslyklwuq"
"neutral","watched architects of control program one   mass control  amp  bites her nails  amp  was peeking out the window   iphone"
"positive","i finished the  big welding  task in big business deluxe for ios  https   t co ujksrkvbap  iphonegames  iphone  gameinsight"
"positive","check out our new  phone cases   we re adding at least 20 new designs a week     iphone  case  samsung  xddesigns  https   t co toy5lna3ng"
"neutral"," purple  mandala hippie pattern  iphone 4 case   https   t co grziukmybm"
"neutral","updated pythagorean calc  app https   t co jizwqhioai  math  techtalk  iphone  ipad  mathchat  teachers  tech  https   t co k0qlj1fcfr"
"positive","my coding in swift in  ios  iphone may be easy because i m a computer scientist of 35 years  that retired due to  blindness "
"neutral","friday evening      ireland  irish  spring  cavan  iphone https   t co 4zflshwtj6"
"positive","rt  gsbimagesmbusch  good morning from  hutchinson  island  florida  iphone  stormhour  weatherchannel  realsaltlife  spann  usasunrise htt "
"positive","frozen dragon gems   match 3   free    iphone ipad version available now to play for   free   in all app stores itu  https   t co gdrkcjdjxu"
"positive","car mount qi wireless charger iksmarkets   things and more shop   https   t co db18q66btq tag  follow and share   https   t co hnubx3rfsb"
"positive","best design iphone apple ever made           source  ijosh hoffmann            iphone  iphone4  iphone4s  https   t co f65xn4htsy"
"positive","test your love   https   t co tglgk6x1zm  itunes  love  apps  lovetest  funny  fun  iphone  ipad  newapp  ios  https   t co 6gus30akbq"
"negative","f5 acquires nginx for  670m to move into open source  multi cloud services  https   t co k3wpjpse2y   android  https   t co v2abwwabcu"
"positive"," ios  iphone  i m planning to start programming in swift very soon  swift development app already installed  now re  https   t co qsull6l0nd"
"negative","f5 acquires nginx for  670m to move into open source  multi cloud services  https   t co rypa1mxz48   smartphone  https   t co pkdqdsef8i"
"positive"," apple can t help   how a molecular biologist trained stay at home moms to recover lost  iphone photos   cbc news https   t co tzugo8q4lv"
"neutral","rt  gigi pqrs2928  today    iphone https   t co t5anezx6x8"
"negative","what fool designed the iphone so that i can no longer charge it  amp  put in headphones at the same time       iphone  apple  earphonejack"
"neutral","the collections   of him      unboxing   https   t co tiwoywx3ae   apple  appleproducts  ipad  iphone7plus  https   t co slbswjparq"
"negative","rt  suhrmesa   progressive affectation  https   t co plj25evhiu   bretweinstein  ericrweinstein  jordanbpeterson  benshapiro  rubinreport   "
"positive","rt  realgmurder   tim cook  apple  applemusic  i did this awhile back every body loved it hope you guys do as well maybe ya approve wink wi "
"negative"," progressive affectation  https   t co plj25evhiu   bretweinstein  ericrweinstein  jordanbpeterson  benshapiro  https   t co fotnnkkzst"
"negative","what i like about  photographs is that they  capture a moment that s gone  forever   impossible to  reproduce  https   t co zwilmy3q6k"
"negative","scam alert   lol  when you get a spoofed email not really from apple looking to have you  verify  your account info  https   t co 8pu0b3u3hv"
"positive","universal retro rechargeable wireless gamepad   gamingdevices  accessories  phone  android  iphone  phone https   t co d94n1we1jb"
"neutral","latest iphone update totally f ed up my twitter  pics are not loading when connected to wi fi   apple  iphone  update"
"positive"," birmingham  gasstbasin  city  boats  canal  narrowboat  reflections  iphone   birmingham  united kingdom https   t co 9mou5v2ryh"
"positive","dear  iphone users  you haven t entered into  haven yet   https   t co 77ydtkmpfx"
"positive","thick warm cashmere leggings iksmarkets   things and more shop   https   t co db18q66btq tag  follow and share   https   t co 3wxrr8gytc"
"positive","grab your old  new mobile from one of the most trusted old mobile seller  exchangemobi with emi option with bajaj f  https   t co jlofukx2hp"
"negative","rt  nameecase   make money not friend case        i5 i5s ise i6 i6s i6  i6s  i7 i8 ix      line  https   t co 8uriuh58nc      for more  ig "
"positive","snapshots from my  iphone a perfect view  me looking at you  my girl standing on a cliff maybe the scarborough bluf  https   t co vlfk5wcgc1"
"positive","reposting  capturewithphone    via  crowdfire  warm glow at the top of riffelsee   what do you think that pond wate  https   t co brno1culxq"
"positive"," bible verse found with words of jesus each day by  roboticode for  android  iphone  kindle   dailyinspiration https   t co 4be1tinjck"
"positive","my iphone says last week my screen time was down 5  for an average of 1 hour  39 minutes  the good news  my real li  https   t co u2xek1p5gg"
"positive","rt  qupsys  business email with google g suite   look professional signup here  https   t co 3liahourp2      gsuite  email  android   ios "
"negative","rt  keithjonescpa  investors are circling 3d systems corporation  nyse ddd   tetra tech  inc   nasdaqgs ttek   what do the numbers tell us  "
"negative","leftover  raindrops on the bushes in the  backyard this chilly morning  wnep  amnewsers  iphone  nepa https   t co hiuvqcv31q"
"positive","apple cant help  how a molecular biologist trained stay at home moms to recover lost  iphone photos https   t co n8o8bqfdaz  tweet4mee"
"positive","cool tool i just learned about  gt  how to use  iphone widgets  tech https   t co ndrftfvf0y"
"positive","latest macos update  10 14 4  provides support for  air quality index in maps for us  uk and india   macos  this is  https   t co w2tpgiizam"
"neutral","     sakura fireworks   cherry blossoms with the fireworks                2019            2019   japan  sakura  https   t co oe3qff4ndx"
"positive","blackpink right now   on screen  samsung android user off screen  iphone ios user  wkwkwkwkw haha love u girls    https   t co lhdajj3lnj"
"negative","investors are circling 3d systems corporation  nyse ddd   tetra tech  inc   nasdaqgs ttek   what do the numbers tel  https   t co wltydxkaun"
"neutral"," tim cook could apple bring the 12 month iphone subscription system to australia  apple  iphone"
"neutral"," wallpapers  homescreen  lockscreen    wallpaper    iphonexsmax     iphonexr     iphonexs     iphonex   iphone     https   t co be8l15ori1"
"neutral","rt  metrotravelnews   iphone users  did you know your camera has a built in qr code reader   so you can point the camera at the  qrcode car "
"positive","rt  ar72014   wallpaper  dear new followers  200 exclusive  wallpapers for your  iphonexs  iphonex  amp  for all other  iphone devices    from "
"positive","crystal angel butterfly fairy necklace iksmarkets   things and more shop   https   t co db18q66btq tag  follow and  https   t co olssjmxy0m"
"negative","call of duty black ops iii disponibile su mac  supporto a metal e 64 bit https   t co b2knesp9dt  pcexpander  https   t co 0q5kn3jewb"
"negative","do not know how to download apps over 150mb or 100mb without wifi on iphone  here s the trick for you    https   t co 9atejrupqa"
"neutral","price drop   starmap 3d  on sale for  iphone  ipad  1 99  gt  gt   0 99 https   t co xsoyv2g6et https   t co iqfpxo4vc9"
"positive","rt  mitulchowdhury5  welcome  walmart free gift card   https   t co 4r3hgevcim   https   t co zohqoaswnw  canada  https   t co 06x1xoq3ou"
"negative","rt  nigeriacircle  2 students scammed apple of  900k in fake iphone scheme  feds https   t co due0dkcy3d  attorneys  business  businessnews "
"negative","2 students scammed apple of  900k in fake iphone scheme  feds https   t co due0dkcy3d  attorneys  business  https   t co h8lrjsq3aa"
"positive","wts   iphone x 64gb unlocked  100  fully functional  tested  warranty  a class condition      stocks  iphone  https   t co rozlnehsjp"
"positive","   psa   a  message from  georgewbush    securedabag      inaguration  meme  comical  iphone  art  video  george  https   t co i24fxozroo"
"positive","welcome  walmart free gift card   https   t co kzjwrpyust   https   t co o7z30rhtxo  canada  usa  uk  business  https   t co kabjvmipxv"
"negative","our next campaign is launching on kickstarter in only 36 hours   check out this video for a sneak peak   https   t co cwzxwjno8r"
"positive"," iphone   send  amp  receive money through  imessage with  applepay on iphone        https   t co nijp3ir79f"
"positive","rt  dailybasik  us rule changes could mean more startups would need government approval to hire immigrants  https   t co d9aqapjvzo   techn "
"positive","us rule changes could mean more startups would need government approval to hire immigrants  https   t co d9aqapjvzo  https   t co 0kakkhzr01"
"negative","is there a bigger challenge in life      lifegoals  bigchallenge  iphone  lifeproblem  cartoon  comicbooks  https   t co zhagf26lyj"
"positive","make the most of your airpods   how to use airpods properly   https   t co n1zkoh1czj  airpods  airpod  airpods  airpods  apple  iphone"
"neutral","just left an iphone for repair  there should be an  iphone repair mode  where the technician could access features  https   t co bytow3sqar"
"neutral","caturday saturdays  mocha cat caf  in tokyo          caturday  cat  cats  cafe  saturday  catsofinstagram  tokyo  https   t co wh2mmqajcv"
"positive","tips  it s easy to use  airplay with a radio station s stream  but with a few steps  and an app or two  you can tur  https   t co cpo1y91yri"
"positive"," iphone  app  lottory  money i analized the past megamillions numbers  i found rule of the figures  check on iphone  https   t co zesht49xi7"
"neutral","i have a collection of my previously owned  iphone models  i take  em out for maintenance  amp  charging every 5 6 week  https   t co z2brlnf1ro"
"negative"," ios6  iphone  developer looking for  job  hiring  check  jobely https   t co eia7ofjgpr"
"positive","5 in 1 electric facial cleaning machine iksmarkets   things and more shop   https   t co db18q66btq tag  follow and  https   t co 3bp9xucm5z"
"positive","i am listening to  van morrison   these are the days   variety lovesongs        https   t co 3fmqyh1uoz  https   t co j34s643kys"
"neutral","need  phonecases design by ralufineart  check this out     phones  iphone  iphonexr  iphone8  iphonex  galaxys10  https   t co lkrmti5y3x"
"positive","rt  woodstockpro  rt rbguy5   abstract  polygon  shades of  purple     available now on  redbubble find your thing here  https   t co vvora "
"positive","apple iphone 2020  exclusive first look       like   share   comment          apple  iphone  appleiphone  iphonex  https   t co plmwfvajkm"
"positive","rt  cmsconsumertech  lander iphone cases deliver peace of mind  minimalistic  lightweight  amp  protective for urban living  amp  off grid adventur "
"neutral","rt  blogosum   deals  124 99 usd   apple iphone 6 4 7  16gb  factory gsm unlocked at amp t   t mobile  smartphone https   t co tuj80146k9  ebay "
"positive","rt  hos houseos  next generation knx technology hos  smarthome  automation for knx eib  check this 30 sec preview f  https   t co u3rt798cqe"
"positive","iphone  amp  ipad app price drops   april 6  2019 https   t co umjlz5mdjh  apps  deals  new  sale  free  iphone  ipad https   t co jhyzqjledj"
"positive","iphone  amp  ipad apps gone free   april 6  2019 https   t co w4cic1nctf  apps  deals  new  sale  free  iphone  ipad https   t co mbkuutzeil"
"positive","newly released iphone  amp  ipad apps   april 6  2019 https   t co 9tbqg4r7ui  apps  deals  new  sale  free  iphone  https   t co e8afa9rg0e"
"positive","  so honoured   elliot grove    raindance is the festival i envisaged  ria to be in  delivering the right message   https   t co vfwtmumqcp"
"neutral"," deals  124 99 usd   apple iphone 6 4 7  16gb  factory gsm unlocked at amp t   t mobile  smartphone  https   t co y10wogluxc"
"neutral","rewind photo vers   photography  photo  photographer  photoshoot  iphone  iphonecamera  iphonecameraonly  noedit  https   t co bnazda8s1n"
"positive","can anybody suggest a phone which takes picture of your actual face with no filters  i am sick of this automatic fi  https   t co rlgqbqerkw"
"neutral"," ocean  tasmanbay  brittaniaheights  nelsonharbour  nelson  southisland  nz  newzealand  travelnz  https   t co qbs09rfik3"
"positive","found this with prayers  amp  blessings daily by  roboticode for  android  iphone  kindle   dailyinspiration https   t co qbnsqbhcx5"
"positive","android smartphones  which is better for power users   android  india  ios122  bloodsport  blogger  hindi  mobile  https   t co 8keni9mu0k"
"positive","o n l y t h e b e s t adding the finishing touches  amp  ready to be at your service     suncityglobal  solar  https   t co hfxkilnyv6"
"negative","found one of those classrooms in an ice cave     college  collegecampus  snow  powder  weather  winter  colorado  https   t co cv4vzw7ria"
"negative"," nowplaying anno mundi by black sabbath on  audiogate  iphone https   t co lvnkbc1jdf"
"positive"," rocks  ocean  cliffs  nsw  visitnsw  exploreaustralia  travelaustralia  iphone   tathra  new south wales https   t co 4loortusj6"
"positive","hey guys  sports  amp  fitness in https   t co rpgttodmsn  shopping  price  money  coupon  tv  car  video  aws  prime  https   t co x8trs4vfyw"
"positive","rt  buybackmart  whatsapp business for iphone rollout begins worldwide including india  here is what it does   news  https   t co 9eecob9v0z"
"negative","rt  mitulchowdhury5  win a samsung galaxy   limited offer     https   t co joj2cmuqj0  https   t co 9xtglwxhfc   canada  usa  uk  business "
"negative","win a samsung galaxy   limited offer     https   t co joj2cmuqj0  https   t co 9xtglwxhfc   canada  usa  uk  https   t co patgxikh1j"
"positive"," apple  iphone 7  a1778 32gb gsm  unlocked  very good  https   t co rkst9l37wd price   209 99 https   t co ydmxjua8ry"
"positive","waterproof long lasting lipstick pencil iksmarkets   things and more shop   https   t co db18q66btq tag  follow and  https   t co s2bz2ltbbd"
"negative"," usa   oregon  2 students cheat  apple  fake  iphone in service exchanged for original models  https   t co 6c9c4bqwvy"
"negative","rt  heapooh  apple iphone xr price slashes in india   starts at inr 53 900 https   t co opmci8khmo  apple  iphone  iphonexr  iphonex  iphon "
"neutral","rt  hyrdagiveaways    6x iphone xs max giveaway       rt   follow me   turn post notifications on         amp  rt 3 tweets from  ydyylan    rep "
"negative","nowplaying   monster rally   el retorno  https   t co 6xyfg2isbo   iphone app https   t co csmu9adcyx   peripouwebradio"
"neutral","updated my  iphone  ios for  arkit   now i have to update my  macbook so i can update  xcode  next will likely be m  https   t co f3yuemlzzp"
"negative","space galaxy designed iphone cases  tempered glass covered  iphone case  shock proof  dirt resistant  anti knock   https   t co sxolajcanm"
"neutral","nowplaying   astro raph   hold me  https   t co 6xyfg2isbo   iphone app https   t co csmu9adcyx   peripouwebradio"
"neutral","rt  ceotechi  multi cavo di ricarica  baseus 3 in 1 4ft 1 2m 3a fulmine micro usb usb tipo c in nylon intrecciato per nexus samsung huawei  "
"neutral","earphone organizer  get it here     gt  https   t co 4ev9lg9bxp    cellphone  iphone  mobile  phone  apple  smartphone  https   t co vqhei0gwk9"
"neutral","nowplaying   saib   spring  https   t co 6xyfg2isbo   iphone app https   t co csmu9adcyx   peripouwebradio"
"positive","rt  joshandlana25  check out new sketchers universal sweat proof armband    iphone https   t co ytbdiiweyw   ebay   summer  love  follow  p "
"positive","nowplaying   erik jackson   the midnight sun ft  joey crown  https   t co 6xyfg2isbo   iphone app https   t co csmu9adcyx   peripouwebradio"
"neutral","rt  ar72014   wallpaper  wallpapers  iphone   iphonexsmax  iphonexs  iphonex  iphonexr  instagram  telegram  social   you can also follow m "
"positive","rt  arunfreelance   freelance  freelancing  freelancer  technology  news  information  computer  cyber  world  internet  iphone  android  l "
"positive"," freelance  freelancing  freelancer  technology  news  information  computer  cyber  world  internet  iphone  https   t co hvecfbofie"
"negative","iphone 11 max render spotted online  news  apple  iphone  https   t co eouay8lb9i"
"neutral","nowplaying   mister t    sometimes  https   t co 6xyfg2isbo   iphone app https   t co csmu9adcyx   peripouwebradio"
"neutral"," wallpaper  wallpapers  iphone   iphonexsmax  iphonexs  iphonex  iphonexr  instagram  telegram  social   you can al  https   t co 2qxodpvxsi"
"positive","whatsapp business for iphone rollout begins worldwide including india  here is what it does   news18    whatsapp  https   t co upfjbv3egp"
"positive","who will win  samsung galaxy s10 plus vs iphone xsmax  cumartesi  natpethunai  happyugadi  cskvkxip  iphone  https   t co jlw9kro11k"
"positive","win a free iphone   limited offer     https   t co hpjq3rz449  https   t co n3eiztenug     canada  usa  uk  https   t co aupbxyt3s1"
"neutral"," rt  iphone  wallpapers  iphonexsmax  iphonexs  iphonexr  wallpaper  ios  homescreen  background  backgrounds  https   t co 34t6gswx0j"
"positive","apple iphone 7 plus 32gb   the best budget big screen apple iphone          iphone7plus  appleiphone7plus  apple  https   t co qnanpljjtv"
"negative","now when every app that i use has  darkmode now  after sometime it becomes so depressing so i switch to regular whi  https   t co ad2zqmn4pq"
"positive"," zacbowden  ios but its solely based up on apples tight software and hardware integration and it s stellar app stor  https   t co xi7tjls0nq"
"negative"," apple employee detained by  us border agents over his  iphone and laptop speaks out    apple  unitedstates  https   t co n2gwhgpect"
"positive"," bible verse found with identity in christ daily by  roboticode for  android  iphone  kindle   dailyinspiration https   t co uebmqcfj3k"
"negative"," apple if these  leaks  are the design of the new  iphone 11    then you have too many people smoking crack working  https   t co 8voguocepm"
"positive","rt  jerryw9fs   bible verse found with words of jesus each day by  roboticode for  android  iphone  kindle   dailyinspiration https   t co  "
"positive"," bible verse found with uplifting psalms daily by  roboticode for  android  iphone  kindle   dailyinspiration https   t co w2rhxacnnx"
"positive"," bible verse found with words of jesus each day by  roboticode for  android  iphone  kindle   dailyinspiration https   t co w7ukr78m9x"
"positive","rt  radim kacer  abstract  wallpaper  original  hdwallpaper for  phone  new series is coming soon https   t co xsdfg3xcjw     screen  fashi "
"positive","highly satisfied about the service of matara  dialog customer service center  easily able to activate the  dialog e  https   t co flymvkkxxd"
"positive","rt rbguy5   abstract  polygon  shades of  purple     available now on  redbubble find your thing here   https   t co tbwpyc5tku"
"positive","next generation knx technology hos  smarthome  automation for knx eib  check this 30 sec preview for  appletv   https   t co chrrl5oqhd"
"neutral","one man show          ruhrgebiet  ruhrdistrict  ruhrarea  ruhrpottliebe  igersdortmund  dortmund  phoenixsee  https   t co rm4ohfkzft"
"positive","found this with prayers  amp  blessings daily by  roboticode for  android  iphone  kindle   dailyinspiration https   t co bibyfwoaoi"
"positive","  youhadonejob1 that s the part doesn t work    apple  iphone  tim cook  iphoneworks"
"neutral","https   t co yodwb59ghs apple accounts for about 25  77 per cent of berkshire s portfolio  which was higher than 23  https   t co ackyta0b48"
"neutral","https   t co qz03a43mdh apple accounts for about 25  77 per cent of berkshire s portfolio  which was higher than 23  https   t co gdsmhrvr9w"
"neutral","https   t co 99tcbbmlf0 apple accounts for about 25  77 per cent of berkshire s portfolio  which was higher than 23  https   t co oogmibpapi"
"neutral","https   t co agvkyz208p apple accounts for about 25  77 per cent of berkshire s portfolio  which was higher than 23  https   t co vatxudcamo"
"positive","rt  ikssocial  fine natural white pearl ring iksmarkets   things and more shop   https   t co db18q66btq tag  follow and share   fashion  m "
"neutral","price drop   domino for iphone  on sale for  iphone  ipad  1 99  gt  gt   0 99 https   t co dk3r8dngfd https   t co 32ftrlvi59"
"negative","warrior in vans     ivansonsegal    warrior  sarawak  springbazaar  vans  tattoo  kin  ngajat  dancelife  iphone  https   t co qffq6laskx"
"positive","fine natural white pearl ring iksmarkets   things and more shop   https   t co db18q66btq tag  follow and share   https   t co tprslkiywv"
"positive","rt  avancohear  the avanco hear   affordable hearing aid earbuds   google  earbuds  android  news  hearingloss  iphone  gadgets  yahoo  fac "
"positive","the avanco hear   affordable hearing aid earbuds   google  earbuds  android  news  hearingloss  iphone  gadgets  https   t co hxsbbfne0c"
"positive","we are here to solve all your it gadget problems at your convenience lets to the hustle for you  thank you  https   t co nkvipnhur3"
"positive","the avanco hear   affordable hearing aid earbuds   google  earbuds  android  news  hearingloss  iphone  gadgets  https   t co uw2fzmc90x"
"positive","tweak   gravity    funny gravity effect to home screen icons    condition     100  work  repo     https   t co lzeywfpeav"
"negative","rt  idevicetool  r sim 13   rsim 12 activation error how to fix and new iccid to unlock iphone carrier https   t co ou6jkqplez  iphone  rsi "
"positive","the avanco hear   affordable hearing aid earbuds   google  earbuds  android  news  hearingloss  iphone  gadgets  https   t co 6sypaqedch"
"neutral","imessage games     iphone"
"positive","rt  love allah 01  this is the  book about which there is no doubt   iphone https   t co tq7xawdvdd  android https   t co wf6ewebbyd  rt  u "
"negative"," alibi   camera app  put address  lat long  timestamp of shooting location over the photo you shot for evidence   https   t co lb3wpmrt8p"
"positive","talking tom  funny refund story   1  jokes  jokeoftheday  funniesttweets  funny  iphonese2          saturdaymorning  https   t co wgl21ymqpn"
"negative","thinkin on whether i should come back to the gang  iphone"
"positive","hey guys  fashion in https   t co rpgttodmsn  shopping  price  money  coupon  tv  video  car  aws  prime  https   t co he7vg5sjaf"
"positive","i am listening to  taylor dane   prove your love   variety oldies radio        https   t co 0lw7zntkt4   music  https   t co edyrwj1r3f"
"positive","rt  minimedge  the newest  iphone ios 12 2  update contains 4 new animoji  so far i didn t know i have  animoji at all   where i can find t "
"positive","cute women sweatshirt iksmarkets   things and more shop   https   t co db18q66btq tag  follow and share   fashion  https   t co 6uavly8msd"
"positive","swift vs objective c   comparison and differences  swift  objectivec  ios12  ios  iosdev  iphone  https   t co 6hm2yyembo"
"neutral","rt  nradioapp  i am listening to  ida jenshus   for the nation   norsk country radio        https   t co sepao92x1z    applemusic      http "
"neutral","i am listening to  ida jenshus   for the nation   norsk country radio        https   t co sepao92x1z    applemusic  https   t co muevfcmqar"
"negative","  lowest deals   apple iphone 6  gsm unlocked less than  137   https   t co kx9hlphlmc   iphone  appleiphone  apple  https   t co w3uw8z6obv"
"positive","custom electronics oh well  thanks for looking   turtle  turtles  samoa  southpacific  aquaman  projectrock  galaxy  https   t co 4pyx7nzzfm"
"neutral","let us rack these up  standard  telephoto  wide angle  truetone flash and perhaps a time of flight sensor  here s h  https   t co x2slcnv9rz"
"negative","  lowest deals   apple iphone 6  gsm unlocked less than  137   https   t co bn1j5b00q1   iphone  appleiphone  apple  https   t co p3bpjsq4qv"
"positive","rt  nupetc1  i learned today that if you hold down l on you  iphone you get the    litecoin symbol     this is awesome  litecoinfam https   "
"positive","how does he be force update an app   i mean uninstall and install a new one of  iphone  for me if i try it always t  https   t co dvhjagjnnf"
"negative","rt  alibukharishah   telemartstores    fraud  scam alert by  telemart  it s surprizing that the ceo  hamzabdulrauf has been nominated by  f "
"negative","man  you just can t do your damn twitter on your  iphone  "
"neutral","the schematic shows the lenses arranged in the same triangle shape alongside cutouts for the flash and the micropho  https   t co 7jrnbsnwnb"
"positive"," giveaway   ios  picture perfect   all in one   1 99 to free  on https   t co gxdvws9bxb get the paid app for  free  https   t co cxthykgr3h"
"neutral","it s april 06  2019 at 05 00am   apple  iphone  unlocking prices has  dropped time  now to get it  unlocked swiftun  https   t co scgkgpok5u"
"positive","that awesome feeling when you ve planned a safari with soin africa safaris     travel  travelpics  africa  wegosolo  https   t co mwavdfc5bt"
"positive","usams bob series leather case for iphone 8plus 7plus 6plus      0202024981 55 cedis pickup delivery available  https   t co bbza2ywduj"
"positive","black and white  japan  tokyo  musashino  kichijoji  inokashirapark  nikon  d850  d3s  d5600  iphone  landscape  https   t co z4xqf9elyc"
"positive"," keepcalm  hike on  gifts https   t co akgn5ljltw  posters  mugs  tshirts  bags  iphone cases https   t co ww7gcarxdu"
"positive","be patient let god do his work                              newyork  1  ny  truth  travel  positivevibes  https   t co quf91eyhd5"
"neutral","today    iphone https   t co t5anezx6x8"
"positive","kehlani   nights like this   myxx fm    1 for spanglish hits  la mejor musica         https   t co 32kgnozeid  https   t co xq4j8xqzcu"
"neutral","can someone tell me why my  iphone hisses at me when i want to take a pic"
"positive","rt  techwhenits  tech facts                    smartphone  google  iphone  samsung  technology  apple  android  phone  tech  mobile  xiaomi "
"positive","my best  iphone photo yet of  stpauls from the  tatemodern   just after this the rain hammered down don t let 80  c  https   t co peauygvuv4"
"neutral","only i and god know how i m bwt to change the game    leaders   iphone   hiphop   ngola   durban  kwazulu natal https   t co awt1rxzt10"
"positive"," o2  theo2 can you help   received this notification yesterday on my phone and screenshotted  why has this happened  https   t co bd65jzkygc"
"positive","we ve got loads of phones available to buy with loads of ways to pay  you could buy outright  pay monthly or trade  https   t co 2nxpdr6m3z"
"positive"," apple is censoring a legit independent  iphone data recovery shop on their forum  i can t understand why   she s n  https   t co dtsj7tains"
"neutral"," aashish kumar for the follow  cloudunlock check out  apple  icloud  iphone  aapl for  unlock  code https   t co sfe120jkjh"
"positive","3 symptoms are helps to know your  iphone is  water damaged or not  https   t co tmalz2eatw"
"neutral","rt  ar72014   rt  iphone  iphonex  wallpaper    all iphone  wallpapers pack by  ar72014  part  1   1  https   t co 6usmfqgjst 2  https   t  "
"negative","oh yeah    my  iphone  gmail app has just been updated with swipe actions  this makes a great iphone app even bette  https   t co rujx4norbv"
"positive"," new in latest release  skill calculation support for the worcester round  app  targetarchery  fieldarchery  https   t co ex5wuep8if"
"positive"," bible verse found with uplifting psalms daily by  roboticode for  android  iphone  kindle   dailyinspiration https   t co mn0i9tpc3e"
"positive","could this be the new up coming  iphone   https   t co 2op6xhfbau"
"positive","women s formal trousers   marks  amp  spencer womens straight pants straight fit regular rise  fastening  hook bar and  https   t co u7daa9lknj"
"positive","breakfast time   me  myself  selfie  breakfast  cappuccino  man  guy  boy  teen  instaboy  instaguy  instaman  https   t co xz4axzg1zr"
"neutral","nowplaying   skalpel   konfusion  https   t co 6xyfg2isbo   iphone app https   t co csmu9adcyx   peripouwebradio"
"positive","women s formal trousers   annabelle by pantaloons womens slim pants  slim fit with solid pattern all over perfect f  https   t co glw9p1hd5j"
"positive","iphone chat bubble anxiety  hound  iphone  chat  anxiety  humor  funny  sketch  comedy  laughter https   t co gegbglgo0o"
"neutral"," nowplaying note by sone jitteryjackal on  audiogate  iphone https   t co jvazn2mfvl"
"positive","nowplaying   astro raph   angel snack  https   t co 6xyfg2isbo   iphone app https   t co csmu9adcyx   peripouwebradio"
"positive"," bible verse found with prayers  amp  blessings daily by  roboticode for  android  iphone  kindle   dailyinspiration https   t co wzrd8c1ny4"
"negative"," telemartstores    fraud  scam alert by  telemart  it s surprizing that the ceo  hamzabdulrauf has been nominated b  https   t co yqeoo3gz6s"
"positive","nowplaying   freddie joachim   shoulder kiss  https   t co 6xyfg2isbo   iphone app https   t co csmu9adcyx   peripouwebradio"
"positive","rt  iamtrinetta  we have our  tv set  amp  we re waiting for the  freedom sleep   premiere  hamadmalkuwari et   go now to https   t co ihojosqu "
"neutral","nowplaying   ours samplus   ovni  https   t co 6xyfg30t2w   iphone app https   t co csmu9zw1an   peripouwebradio"
"positive","it s the weekend   liquidnano screen protection technology is about to launch  available globally  for more info cl  https   t co n4aujffrke"
"positive","get the brand new  iphone xs now  https   t co tclgczopbd  nxttakeover  caturday  saturdaymorning  https   t co rvupp3afim"
"negative","  newly discovered developer tool        menubar for wip   log your todos with just a keyboard shortcut  go check i  https   t co jq1rbarld2"
"negative","oh this year is full of surprises   since i managed to drown my iphone yesterday       first time experience for ev  https   t co jmffqpyx3p"
"positive","new guest to the home                   iphonephotography  iphone  photography  photo  photooftheday  photobooth  https   t co eqtapf5otc"
"neutral","price drop   funnel  on sale for  iphone  ipad  2 99  gt  gt   0 99 https   t co ve3syywhx8 https   t co xpd05qupej"
"positive","tech facts                    smartphone  google  iphone  samsung  technology  apple  android  phone  tech  mobile  https   t co ibnbi5zvqq"
"positive","best currency converter for  iphone   jpy  free  huf  sek  pln  fx  cad  aud  bgn  no  gbp  ios  czk  ltl  https   t co uiwi7e9dd1"
"positive","a small selection of pics from our wonderful mini break to dubrovnik    small  selection  pics  pictures  photo  https   t co fwps21us0q"
"positive","morning guys   me  myself  selfie  morning  goodmorning  man  guy  boy  teen  instaboy  instaguy  instaman  https   t co gffkqeq63h"
"negative","have a look at this amazing story  the  iphone concept  was not invented by apple   but by a never heard company na  https   t co aketbibefm"
"positive","a reputation is under attack  big brands have to pull resources away from important projects and growth  and distri  https   t co 9kccp0kxh8"
"neutral"," apple  iphone 6s 16gb 64gb  128gb   verizon   unlocked  att   tmobile   sprint   https   t co xsxv4r2swb price   1  https   t co pxbg3jbzdy"
"negative"," popcorntime on  ios not working  reinstall the app after  revoke  install the app with no  jailbreak on  iphone https   t co lfdykfa4ed"
"positive","over a minute long  didn t feel like chopping it up  i like this one  the whole video is on my  youtube  link in bi  https   t co hmiugbtbu8"
"neutral"," iplaytv was  revoked on  ios  reinstall the app to watch live tv channels on your  iphone     iplaytv app https   t co ptewkn71vy"
"negative","ok  so i left my office with minimal gear  since i knew i would be back early  unfortunately this did not include  https   t co jxnkxal4if"
"positive"," arlosmarthome so now that i have clicked  allow  for  homekit on my  iphone it means that soon i ll be able to use  https   t co yshpg6mjeu"
"neutral","50  off   tozo for  iphone xr screen protector   3d full frame   premium tempered  glass     https   t co 6g2isz44zq https   t co zxp1is3tom"
"positive","rt  artfalaxy  ogbunabali ii clear iphone case by art falaxy  beauty is only skin deep    artfalaxy  art  phones  iphone  ipad  skins  case "
"negative","have a look at this amazing story  the  iphone concept  was not invented by apple but by a never heard company name  https   t co remwlji265"
"neutral","rt  iphoneaddictfr  whatsapp business est maintenant disponible sur  iphone    https   t co t7qvoupfpr https   t co jcq5fgx1mi"
"neutral"," wallpapers  iphone  gradient  lockscreen  apple  abstract  devices  homescreen  abstract  wallpapers for   https   t co whcjecw2qi"
"positive"," cotomovies install  cotomovies after  revoke on  iphone and start watching your favorites moies and shows again   https   t co zj5g8z4cvh"
