"","airline_sentiment","airline_sentiment_confidence","negativereason","negativereason_confidence","airline","text","tweet_coord","tweet_location","user_timezone"
"5246","negative",1,"Customer Service Issue",1,"Southwest","@SouthwestAir @CallMeStanley7 And bring back the ""Agent will call you back..."" feature. Why was that ever discontinued???",NA,"Denver, CO","Mountain Time (US & Canada)"
"5247","positive",0.6429,NA,NA,"Southwest","@SouthwestAir THANK YOU. I left my iPad on a plane, filled out a lost and found form. Yall found it and shipped it back. Thank you #flySW",NA,"Chicago, IL","Central Time (US & Canada)"
"5248","neutral",0.6576,NA,0,"Southwest","@SouthwestAir hi, can you please tell me why today's flights from Chicago to DIA were Cancelled Flightled? Thanks!",NA,"Denver, CO, USA","Mountain Time (US & Canada)"
"5249","negative",1,"Customer Service Issue",0.6942,"Southwest","@SouthwestAir any particular reason it's 20+ minutes and counting to speak to a human being?",NA,"NYC/Columbus/Chicago","Eastern Time (US & Canada)"
"5250","negative",1,"Cancelled Flight",1,"Southwest","@SouthwestAir standing in Las Vegas and our flight says on time, but reps are telling us that all flights to Denver are Cancelled Flightled. HELP",NA,NA,NA
"5251","neutral",1,NA,NA,"Southwest","@SouthwestAir and @USAirways have Cancelled Flightled flights after 525 pm today due to winter storm. Travelers urged to contact carrier for info.",NA,"Ronkonkoma, NY","Quito"
"5252","negative",1,"Flight Booking Problems",0.6677,"Southwest","@SouthwestAir is there any estimate on when the holding for you online will end? I'm at an hour and forty minutes now. I need to rebook!!!",NA,"Salt Lake City, Utah","Mountain Time (US & Canada)"
"5253","negative",0.6648,"Late Flight",0.3457,"Southwest","@SouthwestAir sitting in Baltimore. Finish taxi and approved to takeoff. Oops, not enough fuel. #Fail #45minflight #been3hours",NA,"Douglas, MA",NA
"5254","positive",1,NA,NA,"Southwest","@SouthwestAir Sent your way, thanks for the help.",NA,"Denver","Mountain Time (US & Canada)"
"5255","neutral",1,NA,NA,"Southwest","@SouthwestAir Any chance there's a few seats open from DEN to DAL this afternoon?",NA,NA,NA
"5256","negative",1,"longlines",0.3763,"Southwest","@SouthwestAir the wait for the bags is longer than the actual flight.",NA,"Virginia","Quito"
"5257","negative",0.6739,"Cancelled Flight",0.6739,"Southwest","@SouthwestAir Sure was,  with @Delta  looks like I'll make my birthday celebration after all.",NA,"Branson, MO","Central Time (US & Canada)"
"5258","negative",1,"Lost Luggage",1,"Southwest","@SouthwestAir   Where the heck are the bags for Chicago 408. It has been an hour",NA,"Virginia","Quito"
"5259","neutral",1,NA,NA,"Southwest","@SouthwestAir departing MDW it's cold 26F, windy with snow on the ground for sunny and 70F las vegas  @LASairport http://t.co/2IR7ynMBdU",NA,"Chicagoland",NA
"5260","neutral",1,NA,NA,"Southwest","@SouthwestAir can u follow so I can DM a confirmation number I need confirmed to Cancelled Flight?
I will call to confirm Monday for refund",NA,NA,"Central Time (US & Canada)"
"5261","negative",0.6559,"Can't Tell",0.3548,"Southwest","@SouthwestAir no. Told to call cust service on monday",NA,NA,"Central Time (US & Canada)"
"5262","negative",1,"Customer Service Issue",0.6335,"Southwest","@SouthwestAir why are the ticketing lines in Las Vegas so unorganized??  Mass craziness. Half of the ticketing stations unmanned.",NA,NA,NA
"5263","neutral",0.6917,NA,0,"Southwest","@SouthwestAir I actually could use a slight tweak to my return - not leaving here now til Monday -any way I can skip calling for that?",NA,"Denver","Mountain Time (US & Canada)"
"5264","negative",1,"Customer Service Issue",0.6737,"Southwest","@SouthwestAir fl 4158 Cancelled Flightled from Dallas to Austin. No one answering 800#.  Need help.",NA,NA,NA
"5265","negative",1,"Customer Service Issue",0.6478,"Southwest","@SouthwestAir been on hold for 30 min trying to rebook my flight you Cancelled Flightled. Help?!",NA,"in ur base killin ur tw33tz","Quito"
"5266","negative",1,"Cancelled Flight",0.6882,"Southwest","@southwestair y'all just Cancelled Flightled the flight i rebooked after 1st was Cancelled Flightled. help? I need to be in nyc. schedule more flights tomorrow!",NA,"St. Louis","Central Time (US & Canada)"
"5267","neutral",0.6552,NA,0,"Southwest","@SouthwestAir microsecond too Late Flight so very very sad 😂😂😂😂😂😭😭😭😭😢😢😢😢",NA,NA,"Central Time (US & Canada)"
"5268","negative",1,"Customer Service Issue",0.6978,"Southwest","@SouthwestAir my wife is trying to get a group of clients to their destination and just got disconnected after2 hours holding. Help.",NA,NA,"Eastern Time (US & Canada)"
"5269","neutral",1,NA,NA,"Southwest","@SouthwestAir could u put one here in Baltimore? http://t.co/vLCI2KV1IP",NA,NA,NA
"5270","negative",1,"Customer Service Issue",1,"Southwest","@SouthwestAir very confusing to receive ""your trip is around the corner!"" email when I already Cancelled Flightled the flight",NA,NA,NA
"5271","positive",0.6778,NA,NA,"Southwest","@SouthwestAir y'all are fast we already have our 5 winners! Congrats!!",NA,"Dallas, Texas","Central Time (US & Canada)"
"5272","neutral",1,NA,NA,"Southwest","@SouthwestAir have five people shown up yet",NA,NA,"Mountain Time (US & Canada)"
"5273","positive",1,NA,NA,"Southwest","@SouthwestAir Left my computer on the plane. Two weeks Late Flightr they found it and sent it to me. #greatservice.  #happy #customer",NA,"Beverly Hills, CA 90212","Pacific Time (US & Canada)"
"5274","neutral",0.6766,NA,NA,"Southwest","@SouthwestAir fortunately didn't have to. The flight took off on time.",NA,"Indianapolis, IN","Atlantic Time (Canada)"
"5275","negative",1,"Cancelled Flight",0.6913,"Southwest","@SouthwestAir  placed on hold for total of two hours today after flight was Cancelled Flightled. Online option not available. What to do?",NA,NA,NA
"5276","neutral",1,NA,NA,"Southwest","@SouthwestAir no thanks",NA,NA,NA
"5277","negative",1,"Customer Service Issue",0.6319,"Southwest","@SouthwestAir I've been on hold for the last 2 hours - no progress #pleasehelp #stranded #whenitsnowsitpours #tgcyaLate Flightr",NA,"washington, d.c.","Quito"
"5278","positive",1,NA,NA,"Southwest","@SouthwestAir That's an awesome library.",NA,"Volunteer State","Eastern Time (US & Canada)"
"5279","negative",1,"Customer Service Issue",1,"Southwest","@SouthwestAir, answered right away for a new res, but can't rebook the people that were supposed to leave today? Worst customer service.",NA,"Roxbury Crossing, MA","Quito"
"5280","negative",1,"Bad Flight",0.7231,"Southwest","@SouthwestAir horrible flight!",NA,"Sacramento","Pacific Time (US & Canada)"
"5282","negative",1,"longlines",1,"Southwest","@SouthwestAir @ LAX is almost a mess. For some reason the express bag drop is slower than the full service line. http://t.co/ORY89eEGek",NA,"Bay Area","Pacific Time (US & Canada)"
"5283","neutral",1,NA,NA,"Southwest","@SouthwestAir Any way that I can get a receipt for a Cancelled Flightled portion of a roundtrip flight? Used the flight voucher just need receipt.",NA,"Kansas City, KS","Central Time (US & Canada)"
"5284","neutral",1,NA,NA,"Southwest","@SouthwestAir Can I do the same thing as changing a ticket by Cancelled Flighting my current ticket &amp; buying a replacement online?",NA,"Littleton, CO","Mountain Time (US & Canada)"
"5285","negative",1,"Customer Service Issue",0.6632,"Southwest","@SouthwestAir How to I rebook on-line when it keeps telling me that it's a reserv number for a past date (this morning)? Holding for 2hrs.",NA,"St. Louis, Missouri USA","Central Time (US & Canada)"
"5286","negative",1,"Customer Service Issue",1,"Southwest","@SouthwestAir Been on hold over 90 minutes. You can fly, but not answer the phone?",NA,"San Diego",NA
"5287","positive",0.7158,NA,0,"Southwest","@SouthwestAir thanks so much just had to make a Cancelled Flightlation! I've sent u the info.",NA,"North Texas","Central Time (US & Canada)"
"5288","neutral",1,NA,NA,"Southwest","@SouthwestAir thanks. What's your opinion on chances of getting in okay tomorrow?",NA,"Denver ","Eastern Time (US & Canada)"
"5289","negative",1,"Cancelled Flight",1,"Southwest","@SouthwestAir I fly back to Omaha for my grandmothers funeral, you Cancelled Flight my return flight and dont bother to notify me. Thanks a lot.",NA,NA,NA
"5291","negative",1,"Bad Flight",0.6801,"Southwest","@SouthwestAir Since when did it become ok for a passenger to save 3 rows of seats for people with a Late Flightr boarding position?how rude!",NA,NA,NA
"5292","negative",0.6793,"Flight Booking Problems",0.6793,"Southwest","@SouthwestAir can you provide direct assistance? My colleague and I cannot re-book b/c the ticket was booked via a corporate account. #help",NA,"Roxbury Crossing, MA","Quito"
"5293","neutral",0.6196,NA,0,"Southwest","@SouthwestAir flying back to Denver tomorrow. Should I rebook?",NA,"Denver ","Eastern Time (US & Canada)"
"5294","negative",0.6123,"Cancelled Flight",0.6123,"Southwest","@SouthwestAir flight just Cancelled Flighted. Can you help me rebook?",NA,"Washington, DC","Eastern Time (US & Canada)"
"5295","neutral",0.6663,NA,NA,"Southwest","@SouthwestAir can you follow me so I can send the DM?",NA,"Littleton, CO","Mountain Time (US & Canada)"
"5296","neutral",0.676,NA,0,"Southwest","@SouthwestAir I never got my flight confirmation. I've been on hold for an hour and I can't get info online. What am I to do?",NA,"Philadelphia, PA","Quito"
"5297","neutral",0.66,NA,0,"Southwest","@SouthwestAir follow for a DM please. Need to confirm a Cancelled Flighted reservation",NA,NA,"Central Time (US & Canada)"
"5298","negative",1,"Can't Tell",0.3547,"Southwest","@SouthwestAir He is going to file a formal complaint, this should have never happened. Please direct us to the right department.",NA,"Florida","Eastern Time (US & Canada)"
"5299","negative",0.6737,"Customer Service Issue",0.6737,"Southwest","@SouthwestAir I am trying to change a ticket for travel on Monday that cannot be changed online. Anyway faster than waiting on hold? #anhour",NA,"Littleton, CO","Mountain Time (US & Canada)"
"5300","negative",0.6765,"Customer Service Issue",0.6765,"Southwest","@SouthwestAir have a prompt for consumers for prompt for customer service instead of having customers on hold for 1.5 hrs",NA,NA,"Central Time (US & Canada)"
"5301","negative",0.6923,"Customer Service Issue",0.6923,"Southwest","@SouthwestAir 😅 you won't let me change my reservation online so now I'm just wasting my time. http://t.co/mHA3xXaeD5",NA,NA,NA
"5302","negative",1,"Customer Service Issue",1,"Southwest","@SouthwestAir hire more customer service agents. And hour and a half is too long to hold",NA,NA,"Central Time (US & Canada)"
"5303","positive",1,NA,NA,"Southwest","@SouthwestAir DM sent. Thanks for the help!",NA,"San Diego, CA",NA
"5304","negative",1,"Customer Service Issue",1,"Southwest","@SouthwestAir, been on hold for an over an hour now - when can we expect some customer service? #disappointed",NA,"Roxbury Crossing, MA","Quito"
"5305","negative",1,"Cancelled Flight",0.6885,"Southwest","@SouthwestAir I'm upset because we were lied to. Was told ice on runway, but EVERY other carrier was able to fly. Airport confirmed no ice!",NA,"Indiana...Our Indiana","Eastern Time (US & Canada)"
"5307","negative",0.6438,"Can't Tell",0.6438,"Southwest","@SouthwestAir What do you call that??!!",NA,"Florida","Eastern Time (US & Canada)"
"5308","neutral",0.6941,NA,0,"Southwest","@SouthwestAir now flight is book and I have to fly standby if they will allow me to check in before the flight takes off",NA,NA,NA
"5309","negative",0.65,"Can't Tell",0.3609,"Southwest","@SouthwestAir My husband is responding to him and he insist to remove him from the seat. BTW signs are in both English and Spanish.",NA,"Florida","Eastern Time (US & Canada)"
"5310","negative",1,"Flight Attendant Complaints",1,"Southwest","@SouthwestAir  the agents werenot helpful told me I would have to pay 2chng even though I Tld them going2 bwi whch is part of trvl advsry",NA,NA,NA
"5311","neutral",1,NA,NA,"Southwest","@SouthwestAir can you follow and we'll proceed?",NA,NA,"Central Time (US & Canada)"
"5312","negative",1,"Flight Attendant Complaints",0.6421,"Southwest","@SouthwestAir because according to the flight attendant my husband doesn't talk english, when the fact is that he understand and talks it",NA,"Florida","Eastern Time (US & Canada)"
"5313","negative",1,"Can't Tell",0.3498,"Southwest","@SouthwestAir Bad enough that there is no seat assigned he's  seating at an exit seat and a male flight attendant removes him from there",NA,"Florida","Eastern Time (US & Canada)"
"5314","neutral",0.6667,NA,0,"Southwest","@SouthwestAir there's a current Cancelled Flightlation in Indianapolis, my girlfriend is stranded. Any ideas, or help you can provide?",NA,NA,"Central Time (US & Canada)"
"5315","negative",0.6563,"Bad Flight",0.6563,"Southwest","@SouthwestAir My husband a first time flyer with you has had the worst experience on board a aircraft just a few minutes ago.",NA,"Florida","Eastern Time (US & Canada)"
"5316","negative",0.7097,"Customer Service Issue",0.3656,"Southwest","@SouthwestAir thx - i managed to figure it out by trying diff confirmation #s as i booked. just annoying it's not readily available!",NA,"Chicago","Central Time (US & Canada)"
"5317","negative",1,"Customer Service Issue",0.6588,"Southwest","@SouthwestAir 2nd leg of trip Cancelled Flightled. Been on hold 1.5 hrs. Will we lose our $ if we don't speak to someone before first flight leaves?",NA,"San Diego, CA",NA
"5318","negative",1,"Customer Service Issue",1,"Southwest","@SouthwestAir I've been on hold almost an hour! I LUV y'all but #ImJustSaying 😔😔😔 http://t.co/t6fYyBHjhL",NA,"North Texas","Central Time (US & Canada)"
"5319","negative",1,"Customer Service Issue",1,"Southwest","@SouthwestAir I love you guys, but even Comcast has a better phone help system. A simple callback system would fix most of the problem...",NA,NA,NA
"5320","negative",1,"Lost Luggage",0.6452,"Southwest","@SouthwestAir is really gonna hear my mouth about this bag situation.",NA,"JerseyNY✈ATL","Central Time (US & Canada)"
"5321","negative",1,"Customer Service Issue",0.6413,"Southwest","@SouthwestAir you guys need better communication to your customers. This is rude and unprofessional.",NA,"Lost In The Ether","Central Time (US & Canada)"
"5322","negative",1,"Customer Service Issue",0.6792,"Southwest","@SouthwestAir I wrote to your customer support on Monday re: a Cancelled Flighted flight but haven't heard back. Any idea what's up? Thanks.",NA,"New York, NY","Mountain Time (US & Canada)"
"5323","neutral",1,NA,NA,"Southwest","@SouthwestAir any official word whether flight 3403 from BWI to Manchester is Cancelled Flightled? I've got an 8hr drive in snow if it is 😢",NA,"NH","Central Time (US & Canada)"
"5324","negative",1,"Customer Service Issue",0.6693,"Southwest",".@SouthwestAir received an error online and have been on hold for over 1.5 hours. Completely unacceptable.",NA,NA,"Eastern Time (US & Canada)"
"5325","neutral",0.6581,NA,NA,"Southwest","@SouthwestAir FREE Cable Out of this World Technology and a mans dream come true... FREE and PORTABLE???!!! http://t.co/Qw1til96YA",NA,"Colorado",NA
"5326","positive",1,NA,NA,"Southwest","@SouthwestAir is the best. Case and point. https://t.co/ucVnilMb4x @ryand2285 #HappyBirthday",NA,"Louisville, KY","Eastern Time (US & Canada)"
"5327","positive",0.6495,NA,NA,"Southwest","@SouthwestAir Incredible view! I had a smooth flight both ways even tho there was turbulence. Your pilots ROCK! http://t.co/3nsUSfSBPv",NA,"San Diego, Ca",NA
"5328","neutral",0.6559,NA,NA,"Southwest","@SouthwestAir k thanks :)",NA,"Atlanta, GA",NA
"5329","negative",1,"Customer Service Issue",0.6513,"Southwest","@SouthwestAir  when you take my money and do not provide a service makes for a profitable venture for your company. #IsItTheGaryKellyWay?",NA,NA,NA
"5330","neutral",1,NA,NA,"Southwest","@SouthwestAir when does today's scavenger hunt start? I'm trying to help my little brother win! #DestinationDragons",NA,"Salt Lake City, UT",NA
"5331","neutral",0.6566,NA,0,"Southwest","@SouthwestAir it's never too Late Flight to do the right thing",NA,NA,NA
"5332","negative",0.6696,"Can't Tell",0.3571,"Southwest","@SouthwestAir same here. Would appreciate a follow so I can DM my info to figure out what I am supposed to do.",NA,"KC",NA
"5333","negative",1,"Cancelled Flight",1,"Southwest","@SouthwestAir trying to get anyone on phone. Flt Cancelled Flighted. Please get me to Denver.",NA,"Murfreesboro, TN","Central Time (US & Canada)"
"5335","negative",1,"Customer Service Issue",1,"Southwest","@SouthwestAir trying to rebook flight. On hold for 23 mins before disconnected and now almost 40 mins? Unbelievable. http://t.co/0BJNz4EIX5",NA,"Nashville, TN","Central Time (US & Canada)"
"5336","negative",1,"Can't Tell",0.6906,"Southwest","@SouthwestAir You guys are just being disrespectful at this point... learned my lesson about this airline",NA,NA,"Quito"
"5337","negative",0.6403,"Customer Service Issue",0.6403,"Southwest","@SouthwestAir been on hold for 20 mins to Cancelled Flight my reservation. Can you assist?",NA,NA,"Central Time (US & Canada)"
"5338","negative",1,"Cancelled Flight",1,"Southwest","@SouthwestAir Pls help. On hold 4 long time now. Travelling 4 business and flight 2 ORF from MCI was Cancelled Flightled.  Need to get out there ASAP.",NA,"KC",NA
"5339","neutral",1,NA,NA,"Southwest","@SouthwestAir greetings",NA,"Abuja",NA
"5340","positive",1,NA,NA,"Southwest","@SouthwestAir Thank u Thank u Thank u for coming through for us! I sincerely didn't think it would happen. &lt;3 #SWA #THANKYOU",NA,"The Universe","Pacific Time (US & Canada)"
"5341","negative",1,"Customer Service Issue",0.6545,"Southwest","@SouthwestAir On hold over 2 hrs and got cutoff !Cancelled Flightled my flight, now can't get to booked cruise in Florida! Terrible customer service!",NA,NA,"Quito"
"5342","negative",1,"Customer Service Issue",0.9256,"Southwest","@SouthwestAir I've been on hold for over an hour and counting…just need a simple name change http://t.co/5Siczx1oez",NA,"Baton Rouge, LA","Central Time (US & Canada)"
"5343","negative",1,"Lost Luggage",0.6809,"Southwest","@SouthwestAir LOST Kay Chapman Designs art-luggage for important show. Won't help locate it. Terrible customer service.",NA,NA,"Quito"
"5344","negative",1,"Customer Service Issue",1,"Southwest","@SouthwestAir been on hold for over an hour to speak to a customer service rep. What the heck?? #Southwest #customerservice",NA,NA,NA
"5345","negative",1,"Cancelled Flight",1,"Southwest","@SouthwestAir are any flights leaving DC today? Flight was Cancelled Flightled, been on hold for over an hour.",NA,"Oklahoma City, OK","Eastern Time (US & Canada)"
"5346","negative",1,"Customer Service Issue",1,"Southwest","@SouthwestAir - you can do better than having someone on hold for over an hr http://t.co/FxNv618B1A",NA,"Denver Co",NA
"5347","negative",1,"Flight Booking Problems",0.6593,"Southwest","@SouthwestAir We have been waiting for almost 3 hours trying to rebook flights. PLEASE help us get through to someone.",NA,"Egg Harbor, WI","Mountain Time (US & Canada)"
"5348","positive",1,NA,NA,"Southwest","@SouthwestAir flight 3970, bna-rdu had the most excellent crew today",NA,"Nashville, TN",NA
"5349","negative",0.6809,"Customer Service Issue",0.6809,"Southwest","@SouthwestAir- I called @united and they solved the flight Cancelled Flightlation issue in 15minutes. May be ask them how to do it? #getmorehands",NA,"Washington DC, New York",NA
"5350","positive",1,NA,NA,"Southwest","@SouthwestAir Never felt better taken care of! Indian aunties are the gold standard. Thanks Aruna! http://t.co/aypyaDUY6a",NA,NA,"Central Time (US & Canada)"
"5351","negative",1,"Cancelled Flight",0.3681,"Southwest","@SouthwestAir I'm stuck in Fort Lauderdale.",NA,"musician and music enthusiast",NA
"5352","negative",1,"Customer Service Issue",0.6816,"Southwest","@SouthwestAir 2 hours on hold trying to reschedule Cancelled Flightled flight. Hold music stopped, but no one's answering. How can I reach a rep?",NA,"Columbus, Ohio","Eastern Time (US & Canada)"
"5353","negative",1,"Customer Service Issue",1,"Southwest","@SouthwestAir I thought you guys were the best airline...I've been on hold for an hour!",NA,NA,"Central Time (US & Canada)"
"5354","positive",1,NA,NA,"Southwest","@SouthwestAir @SouthwestOliver that's a great FA right there.",NA,"Farmington, Utah",NA
"5355","positive",0.6533,NA,0,"Southwest","@SouthwestAir DM sent.  Thank you.",NA,"Dallas, TX","Central Time (US & Canada)"
"5356","negative",0.6522,"Customer Service Issue",0.6522,"Southwest","@SouthwestAir Had to pay a $25 fare difference on a change but can't seem to find the receipt for it. How can I get a copy for reimbursement",NA,"Ontario, Canada","Atlantic Time (Canada)"
"5357","negative",1,"Customer Service Issue",1,"Southwest","@SouthwestAir can't speak with customer service for 2hours, still on hold! Do you guys work?#nogood",NA,"Washington DC, New York",NA
"5358","negative",1,"Cancelled Flight",0.6558,"Southwest","@SouthwestAir Seriously, is the reason for all the Cancelled Flightled flights and long phone wait times that you guys are tremendously understaffed?",NA,NA,NA
"5359","negative",1,"Flight Booking Problems",0.6508,"Southwest","@SouthwestAir VERY frustrated. Saw seats avail. online for pref alt. flight, unable to book online, lost those seats during &gt;2 hr phone hold",NA,"Salt Lake City","Mountain Time (US & Canada)"
"5360","neutral",1,NA,NA,"Southwest","@southwestair @cspkcats let us know if we can help",NA,"Singapore",NA
"5361","neutral",0.6876,NA,0,"Southwest","@SouthwestAir would love Tix for Velour show-entered every contest and still haven't won :(",NA,NA,"Central Time (US & Canada)"
"5362","negative",1,"Late Flight",0.6989,"Southwest","@SouthwestAir On hold waiting to make special accommodations for my mom who is traveling 1 hour and 24 minutes on hold.  Unacceptable!",NA,NA,"Quito"
"5363","positive",1,NA,NA,"Southwest","@SouthwestAir  @TheEllenShow @Imaginedragons  @kdepetro313 .what a great first night. #DestinationDragons http://t.co/N3LrFo4UaY",NA,"Rhode Island ,Mass,CT","Eastern Time (US & Canada)"
"5364","positive",0.6395,NA,0,"Southwest","@SouthwestAir finally through thx",NA,NA,"Mountain Time (US & Canada)"
"5365","negative",1,"Flight Booking Problems",0.3551,"Southwest","@SouthwestAir this is ridiculous. It's been 2 hours on hold to rebook Cancelled Flightled flight.",NA,"LA // DC // LA","Pacific Time (US & Canada)"
"5366","negative",1,"Customer Service Issue",1,"Southwest","@SouthwestAir - Hi Janet in customer service. I'm calling you back and have been sitting in que for 40 mins! Plz pick it up!!! #frustrated",NA,"Austin, TX",NA
"5367","negative",1,"Customer Service Issue",1,"Southwest","@SouthwestAir I thank you for the reply but too complicated to DM, really would like to talk to a cust rep. What is going on there?",NA,NA,NA
"5368","negative",1,"Customer Service Issue",0.6848,"Southwest","@SouthwestAir Can't DM you because you don't follow me.",NA,"Long Island, NY","Eastern Time (US & Canada)"
"5369","negative",1,"Customer Service Issue",1,"Southwest","@SouthwestAir Yes. I figured an hour was a long enough time to hold before giving up. Can somebody call me?",NA,"Dallas, TX","Central Time (US & Canada)"
"5370","negative",1,"Customer Service Issue",0.6548,"Southwest","@SouthwestAir - been on hold forever. My first flight was Cancelled Flightled but my 2nd flight is still on time - HELP!",NA,"Long Island, NY","Eastern Time (US & Canada)"
"5371","positive",1,NA,NA,"Southwest","@SouthwestAir hello #SouthwestAir I'm  happy to be flying with you this morning DAL-MDW #4053 looking forward to a comfortable fight",NA,"Dallas, TX Memphis, TN, MS","Eastern Time (US & Canada)"
"5372","negative",1,"Customer Service Issue",0.6727,"Southwest","@SouthwestAir is anyone answering phones to rebook Cancelled Flightled flights?",NA,"LA // DC // LA","Pacific Time (US & Canada)"
"5373","positive",1,NA,NA,"Southwest","@southwestair your attendants at the ATL airport are awesome! Very helpful with all the Cancelled Flightlations this morning.",NA,"Oklahoma City","Central Time (US & Canada)"
"5376","negative",1,"Can't Tell",0.6364,"Southwest","@SouthwestAir I will never choose @USAirways over you again! #getmeoffthisbird",NA,NA,NA
"5377","positive",1,NA,NA,"Southwest","@SouthwestAir had an amazing experience with your staff at DIA last night. I was blown away by their hospitality with my wife on crutches",NA,NA,NA
"5378","negative",1,"Customer Service Issue",1,"Southwest","@SouthwestAir been on hold now for 1 hour 20 minutes with cust service. Can you help?",NA,NA,NA
"5379","negative",1,"Lost Luggage",0.6477,"Southwest","@SouthwestAir too long to wait for bags when they could have been on the next flight out. The party of 4 could have waited in Albany",NA,"Albany, NY","Quito"
"5380","negative",1,"Late Flight",1,"Southwest","@SouthwestAir where are our pilots? Plane is here flight says it's still on time, but we should of been off the ground 15 minutes ago.",NA,"Nebraska ","Central Time (US & Canada)"
"5381","positive",1,NA,NA,"Southwest","@SouthwestAir Had a great trip this past week to Vegas for work; and had this pic over the Southwest on Southwest! http://t.co/a3YCFlaLxV",NA,NA,NA
"5382","negative",0.6842,"Late Flight",0.6842,"Southwest","@SouthwestAir - I get that weather delays are not in your hands, but is there nothing else you can offer for the massive inconvenience?",NA,"Boston, MA",NA
"5383","negative",1,"Customer Service Issue",0.6889,"Southwest","@SouthwestAir answered. My options are a refund or a resched for Monday (I'd miss work). So I'm paying hundreds for a @USAirways flight tmw.",NA,"Boston, MA",NA
"5384","negative",1,"Customer Service Issue",1,"Southwest","@SouthwestAir on hold for over an hour twice?  Terrible.",NA,NA,"Mountain Time (US & Canada)"
"5385","negative",1,"Cancelled Flight",1,"Southwest","@SouthwestAir my flight is Cancelled Flightled due to weather. What next ?",NA,NA,NA
"5386","negative",1,"Customer Service Issue",0.6563,"Southwest","@SouthwestAir crazy hold times today. Over an hour now. Help?",NA,"CT",NA
"5387","negative",1,"Customer Service Issue",1,"Southwest","@SouthwestAir  been on hold  for 2 1/2 hrs. Can't get 2 airport 4 flight icy country backroads! Help pls? @SouthwestAir  #BNA",NA,"The Universe","Pacific Time (US & Canada)"
"5388","negative",0.6801,"Cancelled Flight",0.6801,"Southwest","@SouthwestAir - STL-BOS flight today was Cancelled Flightled. Online resched form gives an error. On hold for past 90 min. HELP! #terribleservice",NA,"Boston, MA",NA
"5389","neutral",0.6842,NA,0,"Southwest","@SouthwestAir How can we get refund instead of credit for flight that you Cancelled Flightled? We couldn't switch to a flight tomorrow.",NA,"North Bethesda, MD","Atlantic Time (Canada)"
"5390","negative",1,"Customer Service Issue",1,"Southwest","@SouthwestAir been on hold  for 2 1/2 hrs. Can't get 2 airport 4 flight icy country backroads! Help pls? Can a human answer? #BNA",NA,"The Universe","Pacific Time (US & Canada)"
"5391","negative",1,"Customer Service Issue",1,"Southwest","@SouthwestAir Been on hold for over an hour - any chance someone can help me on here?",NA,NA,"Quito"
"5392","negative",1,"Cancelled Flight",1,"Southwest","@SouthwestAir so u Cancelled Flight our flight to PHX bc of SDF weather but flights 2 the NE from SDF are still going on?! WTF? http://t.co/NGG3N0wIaR",NA,NA,NA
"5393","neutral",1,NA,NA,"Southwest","@SouthwestAir Show Jacksonville some 💝too!  We want #3ticketsforJax!",NA,NA,NA
"5394","negative",1,"Customer Service Issue",0.6879,"Southwest","@SouthwestAir Cancelled Flightled my flight without explanation and won't pick up the phone...25 minutes and counting.   #customerservice @olive201",NA,NA,NA
"5395","neutral",0.6636,NA,0,"Southwest","@SouthwestAir Plz consider customers you're losing to #AA for 🚫 the KC ↔️ OKC directs. #okcdirects #OKC #MCI #flights #okcprofessionals",NA,NA,"Central Time (US & Canada)"
"5396","positive",1,NA,NA,"Southwest","@SouthwestAir so glad u guys do business w/ more class than UR competitors @SpiritAirlines 😏",NA,"#PureMichigan ","Atlantic Time (Canada)"
"5397","positive",1,NA,NA,"Southwest","@SouthwestAir Thanks 4 the great service, staff, letting me change my flight 5 times for free! PVD to the skies for me always on SWA!",NA,"Barrington, Rhode Island","Eastern Time (US & Canada)"
"5398","negative",1,"Customer Service Issue",0.6685,"Southwest","@SouthwestAir my wife has now been on hold for 90 minutes....I get weather is bad, but this is insane. #customerservice #customerloyalty",NA,NA,NA
"5399","negative",1,"Customer Service Issue",0.6452,"Southwest","@SouthwestAir I've been on hold for 2 hours!  When will you answer??",NA,NA,NA
"5400","negative",1,"Cancelled Flight",0.6705,"Southwest","@SouthwestAir - i needed refund on my Cancelled Flightled flights this morning and had been on hold for more than an hour X 3. what to do?",NA,"43.012983,-78.724003","Eastern Time (US & Canada)"
"5401","negative",1,"Cancelled Flight",1,"Southwest","@SouthwestAir thanks for the Cancelled Flightation today. Only airline that's Cancelled Flighted. Lost a customer today.",NA,"Columbus, Ohio",NA
"5402","negative",1,"Customer Service Issue",1,"Southwest","@southwestair Cancelled Flightling flights due to winter weather is totally understandable, but it would sure be nice if you would answer your phones.",NA,"Washington, DC","Eastern Time (US & Canada)"
"5403","neutral",0.6609,NA,0,"Southwest","@SouthwestAir Can I book a flight on my own and get reimbursed by you?",NA,"Ohio",NA
"5404","negative",1,"Customer Service Issue",1,"Southwest","@SouthwestAir, I've been on hold for 3 hrs. now, waiting to talk to someone with a pulse to get my Cancelled Flighted flight rescheduled. Is this SOP?",NA,NA,NA
"5405","negative",1,"Flight Booking Problems",1,"Southwest","@SouthwestAir been on hold to rebook a flight to CMH for 1.5 hrs. Your rebook website is crashed.",NA,"Ohio",NA
"5406","negative",1,"Customer Service Issue",0.6803,"Southwest","@SouthwestAir been on hold so long to rebook my Cancelled Flightled flight I had enough time to rebook with @USAirways instead! Lots of room there!",NA,"St Louis","Central Time (US & Canada)"
